canonical_id,type,name_ko,name_ko_primary,is_alias,name_en,name_display,tier,key_ko,key_en,key_len,region_group,ko_source,wikidata
gra00105,grape,가르가네가,가르가네가,0,Garganega,Garganega,,가르가네가,garganega,10,,manual,
gra00106,grape,가르나차 틴타,가르나차 틴타,0,Garnacha Tinta,Garnacha Tinta,,가르나자디ᄂ다,garnacha tinta,13,,manual,
gra00103,grape,가마레,가마레,0,Gamaret,Gamaret,,가마레,gamaret,6,,wikidata,
gra00104,grape,가메,가메,0,Gamay,Gamay,,가메,gamay,4,,manual,
gra00104,grape,갸메,가메,1,Gamay,Gamay,,가메,gamay,4,,alias,
gra00104,grape,가메이,가메,1,Gamay,Gamay,,가메ᅵ,gamay,5,,alias,
gra00102,grape,갈리오포,갈리오포,0,Gaglioppo,Gaglioppo,,가ᄅ리ᅩ보,gaglioppo,8,,manual,
gra00102,grape,가리오포,갈리오포,1,Gaglioppo,Gaglioppo,,가리ᅩ보,gaglioppo,7,,alias,
gra00134,grape,거봉,거봉,0,Kyoho,Kyoho,,거봉,kyoho,5,,wikidata,
gra00107,grape,게뷔르츠트라미너,게뷔르츠트라미너,0,Gewürztraminer,Gewürztraminer,,게뷔르즈드라미너,gewurztraminer,16,,manual,
gra00107,grape,게부르츠트라미너,게뷔르츠트라미너,1,Gewürztraminer,Gewürztraminer,,게부르즈드라미너,gewurztraminer,16,,alias,
gra00109,grape,고델로,고델로,0,Godello,Godello,,고데ᄅ로,godello,7,,manual,
gra00135,grape,고슈,고슈,0,Kōshū,Kōshū,,고수,koshu,4,,manual,
gra00110,grape,그라시아노,그라시아노,0,Graciano,Graciano,,그라시ᅡ노,graciano,9,,manual,
gra00111,grape,그라우부르군더,그라우부르군더,0,Grauburgunder,Grauburgunder,,그라ᅮ부르구ᄂ더,grauburgunder,14,,added,
gra00112,grape,그레카니코,그레카니코,0,Grecanico,Grecanico,,그레가니고,grecanico,10,,added,
gra00113,grape,그레케토,그레케토,0,Grechetto,Grechetto,,그레게도,grechetto,8,,manual,
gra00114,grape,그레코,그레코,0,Greco,Greco,,그레고,greco,6,,manual,
gra00114,grape,그레코 디 투포,그레코,1,Greco,Greco,,그레고디두보,greco,12,,alias,
gra00115,grape,그레코 네로,그레코 네로,0,Greco Nero,Greco Nero,,그레고네로,greco nero,10,,manual,
gra00122,grape,그로 망생,그로 망생,0,Gros Manseng,Gros Manseng,,그로망셍,gros manseng,10,,manual,
gra00121,grape,그로펠로,그로펠로,0,Groppello,Groppello,,그로베ᄅ로,groppello,9,,manual,
gra00120,grape,그롤로,그롤로,0,Grolleau,Grolleau,,그로ᄅ로,grolleau,7,,wikidata,
gra00123,grape,그뤼너 벨트리너,그뤼너 벨트리너,0,Grüner Veltliner,Grüner Veltliner,,그뤼너베ᄅ드리너,gruner veltliner,15,,manual,
gra00123,grape,그루너 벨트리너,그뤼너 벨트리너,1,Grüner Veltliner,Grüner Veltliner,,그루너베ᄅ드리너,gruner veltliner,15,,alias,
gra00116,grape,그르나슈,그르나슈,0,Grenache,Grenache,,그르나수,grenache,8,,manual,
gra00116,grape,가르나차,그르나슈,1,Grenache,Grenache,,가르나자,grenache,8,,alias,
gra00116,grape,가르나챠,그르나슈,1,Grenache,Grenache,,가르나자,grenache,8,,alias,
gra00116,grape,그르나쉬,그르나슈,1,Grenache,Grenache,,그르나쉬,grenache,8,,alias,
gra00117,grape,그르나슈 누아,그르나슈 누아,0,Grenache noir,Grenache noir,,그르나수누ᅡ,grenache noir,11,,added,
gra00118,grape,그리뇰리노,그리뇰리노,0,Grignolino,Grignolino,,그리노ᄅ리노,grignolino,11,,manual,
gra00119,grape,그릴로,그릴로,0,Grillo,Grillo,,그리ᄅ로,grillo,7,,manual,
gra00108,grape,글레라,글레라,0,Glera,Glera,,그ᄅ레라,glera,7,,manual,
gra00108,grape,프로세코,글레라,1,Glera,Glera,,브로세고,glera,8,,alias,
gra00181,grape,나셰타,나셰타,0,Nascetta,Nascetta,,나세다,nascetta,6,,manual,
gra00188,grape,나이아가라,나이아가라,0,Niagara,Niagara,,나ᅵᅡ가라,niagara,8,,auto,
gra00193,grape,네그레트,네그레트,0,Négrette,Négrette,,네그레드,negrette,8,,manual,
gra00183,grape,네그로아마로,네그로아마로,0,Negroamaro,Negroamaro,,네그로ᅡ마로,negroamaro,11,,manual,
gra00185,grape,네렐로 마스칼레제,네렐로 마스칼레제,0,Nerello Mascalese,Nerello Mascalese,,네레ᄅ로마스가ᄅ레제,nerello mascalese,18,,manual,
gra00184,grape,네렐로 카푸초,네렐로 카푸초,0,Nerello Cappuccio,Nerello Cappuccio,,네레ᄅ로가부조,nerello cappuccio,13,,manual,
gra00186,grape,네로 다볼라,네로 다볼라,0,Nero d'Avola,Nero d'Avola,,네로다보ᄅ라,nero davola,11,,manual,
gra00186,grape,네로다볼라,네로 다볼라,1,Nero d'Avola,Nero d'Avola,,네로다보ᄅ라,nero davola,11,,alias,
gra00187,grape,네로 디 트로이아,네로 디 트로이아,0,Nero di Troia,Nero di Troia,,네로디드로ᅵᅡ,nero di troia,12,,added,
gra00182,grape,네비올로,네비올로,0,Nebbiolo,Nebbiolo,,네비ᅩᄅ로,nebbiolo,8,,manual,
gra00182,grape,네비올라,네비올로,1,Nebbiolo,Nebbiolo,,네비ᅩᄅ라,nebbiolo,8,,alias,
gra00182,grape,네비욜로,네비올로,1,Nebbiolo,Nebbiolo,,네비ᅩᄅ로,nebbiolo,8,,alias,
gra00191,grape,노시올라,노시올라,0,Nosiola,Nosiola,,노시ᅩᄅ라,nosiola,8,,manual,
gra00189,grape,노체라,노체라,0,Nocera,Nocera,,노제라,nocera,6,,manual,
gra00190,grape,노턴,노턴,0,Norton,Norton,,노더ᄂ,norton,5,,added,
gra00192,grape,누라구스,누라구스,0,Nuragus,Nuragus,,누라구스,nuragus,8,,manual,
gra00080,grape,다이아몬드,다이아몬드,0,Diamond,Diamond,,다ᅵᅡ모ᄂ드,diamond,9,,auto,
gra00078,grape,데다투르제니,데다투르제니,0,Dedatyurdzeni,Dedatyurdzeni,,데다두르제니,dedatyurdzeni,12,,wikidata,
gra00079,grape,델라웨어,델라웨어,0,Delaware,Delaware,,데ᄅ라ᅰᅥ,delaware,7,,wikidata,
gra00082,grape,도른펠더,도른펠더,0,Dornfelder,Dornfelder,,도르ᄂ베ᄅ더,dornfelder,10,,manual,
