alias_ko,name_en,type,note
알리아니꼬,Aglianico,grape,
알바리뉴,Albarino,grape,
알리칸테 부쉐,Alicante Bouschet,grape,
알리고떼,Aligoté,grape,
아씨르띠꼬,Assyrtiko,grape,
렘버거,Blaufränkisch,grape,
블라우프랜키시,Blaufränkisch,grape,
까프,Cabernet Franc,grape,
카프,Cabernet Franc,grape,
까베르네,Cabernet Sauvignon,grape,
까쇼,Cabernet Sauvignon,grape,
카베르네,Cabernet Sauvignon,grape,
카쇼,Cabernet Sauvignon,grape,
칸논나우,Cannonau,grape,
마주엘로,Carignan,grape,
까르메네르,Carmenere,grape,
카르메넬,Carmenere,grape,
카르미네르,Carmenere,grape,
카스텔라오,Castelao,grape,
까따라또,Catarratto,grape,
카타우바,Catawba,grape,
샤도네,Chardonnay,grape,
샤도네이,Chardonnay,grape,
슈낭 블랑,Chenin blanc,grape,
신소,Cinsaut,grape,
쌩소,Cinsaut,grape,
끌레레뜨,Clairette,grape,
콜롬바드,Colombard,grape,
꼬르테제,Cortese,grape,
꼬르비나,Corvina,grape,
돌체또,Dolcetto,grape,
마리아 고메스,Fernao Pires,grape,
가리오포,Gaglioppo,grape,
가메이,Gamay,grape,
갸메,Gamay,grape,
게부르츠트라미너,Gewurztraminer,grape,
프로세코,Glera,grape,
그레코 디 투포,Greco,grape,
가르나차,Grenache,grape,
가르나챠,Grenache,grape,
그르나쉬,Grenache,grape,
그루너 벨트리너,Grüner Veltliner,grape,
비우라,Macabeo,grape,
꼬뜨,Malbec,grape,
말백,Malbec,grape,
말베크,Malbec,grape,
마르싼느,Marsanne,grape,
뮈스카데,Melon de Bourgogne,grape,
멀롯,Merlot,grape,
메를롯,Merlot,grape,
멜로,Merlot,grape,
멜롯,Merlot,grape,
몬떼뿔치아노,Montepulciano,grape,
몬테풀차노,Montepulciano,grape,
다부루쪼,Montepulciano d'Abruzzo,grape,
다부루초,Montepulciano d'Abruzzo,grape,
다부르쪼,Montepulciano d'Abruzzo,grape,
다부르쬬,Montepulciano d'Abruzzo,grape,
다부르초,Montepulciano d'Abruzzo,grape,
다부르쵸,Montepulciano d'Abruzzo,grape,
다브루쪼,Montepulciano d'Abruzzo,grape,
다브루쬬,Montepulciano d'Abruzzo,grape,
다브루쵸,Montepulciano d'Abruzzo,grape,
디아부르초,Montepulciano d'Abruzzo,grape,
디아부르쵸,Montepulciano d'Abruzzo,grape,
몬테풀차노 다부르쪼,Montepulciano d'Abruzzo,grape,
몬테풀치아노 다부르쪼,Montepulciano d'Abruzzo,grape,
몬테풀치아노 다부르초,Montepulciano d'Abruzzo,grape,
몬테풀치아노 다브루쪼,Montepulciano d'Abruzzo,grape,
머스캣,Moscato,grape,
뮈스까,Moscato,grape,
모스카토 아스티,Moscato d'Asti,grape,
무스카토 다스티,Moscato d'Asti,grape,
무스카토 아스티,Moscato d'Asti,grape,
마타로,Mourvedre,grape,
모나스트렐,Mourvedre,grape,
뮬러 투르가우,Müller-Thurgau,grape,
네비올라,Nebbiolo,grape,
네비욜로,Nebbiolo,grape,
네로다볼라,Nero d'Avola,grape,
파렐라다,Parellada,grape,
피엑스,Pedro Ximénez,grape,
프티 망상,Petit Manseng,grape,
쁘띠 베르도,Petit Verdot,grape,
피크풀,Picpoul,grape,
피노 그리지오,Pinot gris,grape,
삐노 누아,Pinot noir,grape,
슈페트부르군더,Pinot noir,grape,
피노,Pinot noir,grape,
피노 누아르,Pinot noir,grape,
피노누아,Pinot noir,grape,
피노타쥬,Pinotage,grape,
리볼라 좔라,Ribolla Gialla,grape,
리스링,Riesling,grape,
리즐링,Riesling,grape,
루싼느,Roussanne,grape,
싸그란띠노,Sagrantino,grape,
산조베제,Sangiovese,grape,
산죠베제,Sangiovese,grape,
산지오베세,Sangiovese,grape,
상지오베제,Sangiovese,grape,
소비뇽블랑,Sauvignon blanc,grape,
쇼비뇽 블랑,Sauvignon blanc,grape,
세미뇽,Semillon,grape,
세밀론,Semillon,grape,
쎄미용,Semillon,grape,
실바네르,Silvaner,grape,
수장,Sousao,grape,
