name_en,name_ko,tier,region_group,ko_source,note
Agiorgitiko,아요르기티코,,,manual,
Aglianico,알리아니코,,,manual,
Aglianico del Vulture,알리아니코 델 불투레,,,manual,
Airén,아이렌,,,manual,
Albariño,알바리뇨,,,manual,
Albarola,알바롤라,,,manual,
Alexander,알렉산더,,,auto,
Alfrocheiro,알프로셰이루,,,manual,
Alicante Bouschet,알리칸테 부셰,,,added,
Aligoté,알리고테,,,manual,
Altesse,알테스,,,manual,
Ansonica,안소니카,,,manual,
Antão Vaz,안탕 바스,,,manual,
Areni,아레니,,,added,
Arinto,아린투,,,manual,
Arneis,아르네이스,,,manual,
Asprinio bianco,아스프리니오,,,manual,
Assyrtiko,아시르티코,,,manual,
Augusta,오거스타,,,auto,
Bacchus,바쿠스,,,added,
Baco Noir,바코 누아,,,added,
Baga,바가,,,manual,
Baghis Yurdzeni,바기스 유르제니,,,wikidata,
Barbera,바르베라,,,manual,
Beglaris Yurdzeni,베글라리스 유르제니,,,wikidata,
Bellone,벨로네,,,manual,
Bianco d'Alessano,비앙코 달레사노,,,manual,
Biancolella,비앙콜렐라,,,manual,
Black Eagle,블랙 이글,,,auto,
Blaufränkisch,블라우프렌키슈,,,manual,
Bobal,보발,,,manual,
Bombino Bianco,봄비노 비앙코,,,manual,
Bombino Nero,봄비노 네로,,,manual,
Bosco,보스코,,,manual,
Bourboulenc,부르불랑,,,manual,
Bovale,보발레,,,manual,
Brachetto,브라케토,,,manual,
Băbească Neagră,버베아스커 네아그러,,,wikidata,
Cabernet Franc,카베르네 프랑,,,manual,
Cabernet Sauvignon,카베르네 소비뇽,,,manual,
Campbell Early,캠벨포도,,,wikidata,
Campi Flegrei Piedirosso,피에디로소,,,manual,
Canaiolo,카나이올로,,,manual,
Cannonau,칸노나우,,,added,
Carignan,카리냥,,,manual,
Carignano,카리냐노,,,added,
Carménère,카르메네르,,,manual,
Carricante,카리칸테,,,manual,
Casavecchia,카사베키아,,,manual,
Castelão,카스텔랑,,,manual,
Catarratto,카타라토,,,manual,
Catawba,카토바,,,added,
Cayuga White,카유가 화이트,,,auto,
Centesimino,첸테시미노,,,manual,
Cesanese,체사네세,,,manual,
Chambourcin,샹부르생,,,added,
Chardonnay,샤르도네,,,manual,
Chasselas,샤슬라,,,wikidata,
Chavush,차부시,,,wikidata,
Chenin blanc,슈냉 블랑,,,manual,
Cherna Perla,체르나 페를라,,,wikidata,
Cherna Rezekie,체르나 레제키에,,,wikidata,
Chernomorski Briyant,체르노모르스키 브리얀트,,,wikidata,
Chernomorski Eliksir,체르노모르스키 엘릭시르,,,wikidata,
Cheshi,체시,,,wikidata,
Ciliegiolo,칠리에졸로,,,manual,
Cinsaut,생소,,,manual,
Clairette,클레레트,,,manual,
Coda di Volpe,코다 디 볼페,,,manual,
Colombard,콜롱바르,,,manual,
Colorino,콜로리노,,,manual,
Concord,콩코드 포도,,,wikidata,
Cortese,코르테제,,,manual,
Corvina,코르비나,,,manual,
Corvinone,코르비노네,,,manual,
Cot,코,,,added,
Croatina,크로아티나,,,manual,
Dedatyurdzeni,데다투르제니,,,wikidata,
Delaware,델라웨어,,,wikidata,
Diamond,다이아몬드,,,auto,
Dolcetto,돌체토,,,manual,
Dornfelder,도른펠더,,,manual,
Douce noir,보나르다,,,manual,
Duras,뒤라스,,,manual,
Durella,두렐라,,,manual,
Durif,뒤리프,,,manual,
Elbling,엘블링,,,manual,
Encruzado,엔크루자두,,,manual,
Erbaluce,에르발루체,,,manual,
Falanghina,팔랑기나,,,manual,
Favorita,파보리타,,,manual,
Fer,페르,,,manual,
Fernão Pires,페르낭 피르스,,,manual,
Fiano,피아노,,,manual,
Foglia Tonda,폴리아 톤다,,,manual,
Folle blanche,폴 블랑슈,,,manual,
Forastera,포라스테라,,,manual,
Frappato,프라파토,,,manual,
Freisa,프레이사,,,manual,
Frontenac,프론테낙,,,added,
Furmint,푸르민트,,,manual,
Gaglioppo,갈리오포,,,manual,
Gamaret,가마레,,,wikidata,
Gamay,가메,,,manual,
Garganega,가르가네가,,,manual,
Garnacha Tinta,가르나차 틴타,,,manual,
Gewürztraminer,게뷔르츠트라미너,,,manual,
Glera,글레라,,,manual,
Godello,고델로,,,manual,
Graciano,그라시아노,,,manual,
Grauburgunder,그라우부르군더,,,added,
Grecanico,그레카니코,,,added,
Grechetto,그레케토,,,manual,
Greco,그레코,,,manual,
Greco Nero,그레코 네로,,,manual,
Grenache,그르나슈,,,manual,
Grenache noir,그르나슈 누아,,,added,
Grignolino,그리뇰리노,,,manual,
Grillo,그릴로,,,manual,
Grolleau,그롤로,,,wikidata,
Groppello,그로펠로,,,manual,
Gros Manseng,그로 망생,,,manual,
Grüner Veltliner,그뤼너 벨트리너,,,manual,
Hadisi,하디시,,,wikidata,
Hebros,헤브로스,,,wikidata,
Hárslevelű,하르슐레벨류,,,manual,
Inzolia,인촐리아,,,added,
Jacquère,자케르,,,manual,
Kadarka,카다르카,,,manual,
Kakhis Yurdzeni,카히스 유르제니,,,wikidata,
Kapistoni Tsitsiliani,카피스토니 치치리아니,,,wikidata,
Kerner,케르너,,,manual,
Kolokitas Avgulatos,콜로키타스 아불라토스,,,wikidata,
Kyoho,거봉,,,wikidata,
