국가,국가(원어),광역,광역(원어),지구,지구(원어),마을/AOC,마을/AOC(원어),생산자,생산자(원어)
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 바타이에,Chateau Batailley
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 클레르 밀롱,Chateau Clerc-Milon
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 뒤아르 밀롱,Chateau Duhart-Milon
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 그랑 퓌 뒤카스,Chateau Grand-Puy-Ducasse
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 그랑 퓌 라코스트,Chateau Grand-Puy-Lacoste
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 오 바주 리베랄,Chateau Haut-Bages-Liberal
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 오 바타이에,Chateau Haut-Batailley
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 라피트 로칠드,Chateau Lafite Rothschild
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 라투르,Chateau Latour
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 랭슈 바주,Chateau Lynch-Bages
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 무통 로칠드,Chateau Mouton Rothschild
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 피숑 라랑드,Chateau Pichon Lalande
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 피숑 롱그빌 콩테스 드 랄랑드,Chateau Pichon Longueville Comtesse de Lalande
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 피숑 롱그빌 바롱,Chateau Pichon-Longueville Baron
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 퐁테 카네,Chateau Pontet-Canet
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,샤토 다르마이악,Chateau d'Armailhac
프랑스,France,보르도,Bordeaux,메독,Medoc,포이약,Pauillac,레 포르 드 라투르,Les Forts de Latour
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 브란 캉트냑,Chateau Brane-Cantenac
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 캉트냑 브라운,Chateau Cantenac-Brown
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 도자크,Chateau Dauzac
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 뒤르포르 비방,Chateau Durfort-Vivens
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 지스쿠르,Chateau Giscours
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 키르완,Chateau Kirwan
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 라베고르스 제데,Chateau Labegorce-Zede
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 라스콩브,Chateau Lascombes
프랑스,France,보르도,Bordeaux,메독,Medoc,마고,Margaux,샤토 말레스코 생 텍쥐페리,Chateau Malescot Saint-Exupery
