name_en,name_ko,tier,region_group,ko_source,note
1865,1865,,South America,producer,
19 Crimes,나인틴 크라임스,,New World,producer,
A Mano,아 마노,,Italy,producer,
Aalto,알토,,Iberia,producer,
Abadia Retuerta,아바디아 레투에르타,,Iberia,producer,
Achaval-Ferrer,아차발 페레르,,South America,producer,
Adami,아다미,,Italy,producer,
Adrianna Vineyard,아드리아나 비녜도,,,producer,
Agrapart,아그라파르,,Champagne,producer,
Alain Graillot,알랭 그라이요,,France,producer,
Alamos,알라모스,,South America,producer,
Albert Bichot,알베르 비쇼,,Burgundy,producer,
Aldo Conterno,알도 콘테르노,,Italy,producer,
Allegrini,알레그리니,,Italy,producer,
Almaviva,알마비바,,South America,producer,
Alois Lageder,알로이스 라게더,,Italy,producer,
Alphonse Mellot,알퐁스 멜로,,France,producer,
Alter Ego de Palmer,알테르 에고 드 팔머,,,producer,
Altesino,알테시노,,,producer,
Alvaro Palacios,알바로 팔라시오스,,Iberia,producer,
Alzinger,알칭거,,Germany/Austria,producer,
Amelia,아멜리아,,South America,producer,
Anakena,아나케나,,South America,producer,
Ancarani,안카라니,,Italy,producer,
Angel's Share,앤젤스 셰어,,,producer,
Anna de Codorniu,안나 데 코도르니우,,Iberia,producer,
Antinori,안티노리,,Italy,producer,
Antonin Rodet,앙토냉 로데,,France,producer,
Apaltagua,아팔타구아,,South America,producer,
Apothic,아포틱,,New World,producer,
Argento,아르헨토,,South America,producer,
Argiano,아르지아노,,Italy,producer,
Argiolas,아르지올라스,,Italy,producer,
Argonne,아르곤,,,producer,
Armand de Brignac,아르망 드 브리냑,,Champagne,producer,
Artadi,아르타디,,Iberia,producer,
Arzuaga,아르수아가,,Iberia,producer,
Astrolabe,아스트롤라베,,New World,producer,
Ata Rangi,아타 랑기,,Oceania/SA,producer,
Au Bon Climat,오 봉 클리마,,USA,producer,
Aubert,오베르,,USA,producer,
Aussieres,오시에르,,France,producer,
Aveleda,아벨레다,,Iberia,producer,
B&G,비앤지,,France,producer,
Bahans Haut-Brion,바앙 오브리옹,,Bordeaux,producer,
Banfi,반피,,Italy,producer,
Barbadillo,바르바디요,,Iberia,producer,
Barca Velha,바르카 벨랴,,Iberia,producer,
Barefoot,베어풋,,New World,producer,
Baron Edmond,바롱 에드몽,,,producer,
Baron Philippe de Rothschild,바롱 필립 드 로칠드,,France,producer,
Baron de Ley,바론 데 레이,,Iberia,producer,
Bartolo Mascarello,바르톨로 마스카렐로,,Italy,producer,
Barton & Guestier,바르통 & 게스티에,,France,producer,
Bastide Miraflors,바스티드 미라플로르,,,producer,
Batasiolo,바타시올로,,Italy,producer,
Beaux Freres,보 프레르,,USA,producer,
Bella's Garden,벨라스 가든,,,producer,
Bellavista,벨라비스타,,Italy,producer,
Beringer,베린저,,USA,producer,
Beringer Founders Estate,베린저 파운더스 에스테이트,,New World,producer,
Bernard Faurie,베르나르 포리,,,producer,
Bernard Moreau,베르나르 모로,,,producer,
