name_en,name_ko,tier,region_group,ko_source,note
Abona,아보나,,,manual,
Abruzzo,아브루초,,,added,
Aconcagua,아콩카과,,,manual,
Adelaida District,아델라이다,AVA,,auto,
Adelaide Hills,아델라이드 힐스,,,added,
Adelaide Plains,아델라이드 플레인스,,,manual,
Ahr,아르,,,manual,
Albese,알베제,,,manual,
Alcamo,알카모,,,manual,
Alcobaça,알코바사,IPR,,manual,
Alenquer,알렝케르,DOC,,manual,
Alentejo,알렌테주,DOC,,manual,
Alexander Valley,알렉산더 밸리,,,added,
Alexandria Lakes,알렉산드리아 레이크스,AVA,,auto,
Algarve,알가르브,VR,,manual,
Alisos Canyon,알리소스 캐니언,AVA,,auto,
Almeirim,알메이링,DOC,,manual,
Aloxe-Corton,알록스 코르통,,,added,
Alpine Valleys,알파인 밸리스,,,manual,
Alsace,알자스,,,manual,
Alta Mesa,알타 메사,AVA,,auto,
Alta Val d'Agri,알타 발 다그리,,,manual,
Alto Adige,알토 아디제,,,manual,
Alto Douro,알투 도루,,,wikidata,
Alto Piemonte,알토 피에몬테,,,manual,
Altus,알투스,AVA,,auto,
Amarone della Valpolicella,아마로네 델라 발폴리첼라,,,added,
Ancient Lakes of the Columbia Valley,에인션트 레이크스 컬럼비아 밸리,AVA,,auto,
Anderson Valley,앤더슨 밸리,AVA,,auto,
Anjou,앙주,,,added,
Antelope Valley of the California High Desert,앤털로프 밸리 캘리포니아 하이 데저트,AVA,,auto,
Appalachian High Country,애팔래치안 하이 컨트리,AVA,,auto,
Applegate Valley,애플게이트 밸리,AVA,,auto,
Arbois,아르부아,,,added,
Arborea,아르보레아,,,manual,
Arkansas Mountain,아칸소 마운틴,AVA,,auto,
Armagnac-Ténarèze,아르마냑 테나레즈,,,manual,
Arroyo Grande Valley,아로요 그란데 밸리,AVA,,auto,
Arroyo Seco,아로요 세코,AVA,,auto,
Arruda,아루다,DOC,,manual,
Arrábida,아라비다,IPR,,manual,
Assisi,아시시,,,manual,
Asti,아스티,,,added,
Astigiano,아스티자노,,,manual,
Atina,아티나,,,manual,
Atlas Peak,아틀라스 피크,AVA,,auto,
Auckland,오클랜드,,,manual,
Augusta,오거스타,AVA,,auto,
Auxey-Duresses,옥세 뒤레스,,,added,
Aversa,아베르사,,,manual,
Aylés,아일레스,DO,,manual,
Açores,아소르스,VR,,manual,
Badacsony,바다초니,,,manual,
Baden,바덴,,,manual,
Bairrada,바이하다,,,added,
Balatonboglár,발라톤보글라르,,,manual,
Balatonfüred-Csopak,발라톤퓌레드 초팍,,,manual,
Ballard Canyon,발라드 캐니언,AVA,,auto,
Bandol,방돌,,,added,
Banyuls,바뉠스,,,added,
Barbagia,바르바자,,,manual,
Barbaresco,바르바레스코,,,manual,
Bardolino,바르돌리노,,,manual,
Barletta,바를레타,,,manual,
Barolo,바롤로,,,manual,
Barossa Valley,바로사 밸리,,,manual,
Barsac,바르삭,,,added,
Bas-Armagnac,바 아르마냑,,,manual,
Basilicata,바실리카타,,,added,
Batard-Montrachet,바타르 몽라셰,,,added,
Beaujolais vineyard,보졸레,,,manual,
Beaune,본,,,added,
Beira Interior,베이라 인테리오르,DOC,,manual,
Beiras,베이라스,VR,,manual,
Bell Mountain,벨 마운틴,AVA,,auto,
Ben Lomond Mountain,벤 로몬드 마운틴,AVA,,auto,
